SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1.0,0.041927522,65.0,0.0,0.153930832,10900.0,11.0,0.0,1.0,0.0,3.0
1.0,0.245270189,46.0,0.0,0.030494918,6000.0,2.0,0.0,0.0,0.0,0.0
1.0,0.041305645,80.0,0.0,0.07121981200000001,6500.0,4.0,0.0,0.0,0.0,0.0
1.0,0.280477039,62.0,0.0,0.867295947,1800.0,12.0,0.0,1.0,0.0,0.0
1.0,0.01621534,53.0,0.0,9.0,4676.0,3.0,0.0,0.0,0.0,0.0
0.0,0.77108063,46.0,0.0,0.905427783,5434.0,19.0,0.0,1.0,0.0,1.0
1.0,0.9999999,35.0,0.0,0.025589764,2500.0,1.0,1.0,0.0,0.0,1.0
1.0,0.9999999,26.0,0.0,0.110124334,2251.0,2.0,0.0,0.0,0.0,0.0
1.0,0.035276258,65.0,0.0,0.024198087000000004,1776.0,3.0,0.0,0.0,0.0,0.0
1.0,0.042664131,41.0,0.0,0.104674833,28000.0,12.0,0.0,1.0,0.0,2.0
1.0,0.031843278,70.0,0.0,0.210903603,5300.0,18.0,0.0,1.0,0.0,1.0
1.0,0.285998998,72.0,1.0,0.486996644,4767.0,9.0,0.0,1.0,0.0,0.0
1.0,0.229857344,46.0,0.0,0.450592277,19500.0,14.0,0.0,7.0,0.0,3.0
1.0,0.003191035,82.0,0.0,0.005089059,2750.0,4.0,0.0,0.0,0.0,0.0
1.0,0.08080808099999999,31.0,0.0,0.8677830540000001,4000.0,8.0,0.0,2.0,0.0,2.0
0.0,0.33423516600000003,42.0,0.0,0.367726455,5000.0,11.0,0.0,1.0,0.0,0.0
1.0,0.368782008,42.0,0.0,0.488682392,4196.0,10.0,0.0,1.0,0.0,0.0
1.0,0.846088762,71.0,0.0,0.413891532,1050.0,4.0,0.0,0.0,0.0,0.0
1.0,0.189011735,44.0,0.0,0.219296784,6000.0,7.0,0.0,0.0,0.0,3.0
1.0,0.291630852,45.0,1.0,0.554770789,7503.0,17.0,0.0,4.0,0.0,0.0
1.0,0.085326863,55.0,1.0,0.290701616,8850.0,10.0,0.0,2.0,0.0,0.0
1.0,0.0,52.0,0.0,0.570288211,11900.0,10.0,0.0,4.0,0.0,4.0
1.0,0.096829477,36.0,0.0,0.19957339,7500.0,3.0,0.0,1.0,0.0,5.0
1.0,0.003368332,59.0,0.0,29.0,1306.0,4.0,0.0,0.0,0.0,0.0
1.0,0.040094514,59.0,0.0,113.0,264.0,5.0,0.0,0.0,0.0,0.0
1.0,0.173279438,26.0,0.0,85.0,638.0,8.0,0.0,0.0,0.0,0.0
1.0,0.033268697,45.0,0.0,0.149259061,5600.0,10.0,0.0,0.0,0.0,0.0
1.0,0.707291846,56.0,1.0,0.642557023,6663.0,10.0,0.0,1.0,0.0,0.0
0.0,0.9999999,33.0,0.0,0.222001701,3526.0,10.0,0.0,0.0,1.0,2.0
1.0,0.026461354,47.0,0.0,47.0,548.0,4.0,0.0,0.0,0.0,0.0
1.0,0.025549434,74.0,0.0,0.15748842,3885.0,7.0,0.0,1.0,0.0,0.0
1.0,0.048681648,48.0,0.0,0.399238095,5249.0,12.0,0.0,2.0,0.0,1.0
1.0,0.00646967,77.0,0.0,0.004197901,3334.0,18.0,0.0,0.0,0.0,0.0
1.0,0.9999999,47.0,0.0,0.241650557,15000.0,4.0,0.0,1.0,0.0,2.0
1.0,0.0064731680000000005,44.0,0.0,0.244049383,10124.0,6.0,0.0,3.0,0.0,8.0
1.0,1073.0,31.0,0.0,21.46341463,40.0,4.0,0.0,1.0,0.0,0.0
1.0,0.145712898,75.0,0.0,0.076487252,6000.0,15.0,0.0,0.0,0.0,1.0
1.0,0.022052862000000003,50.0,0.0,0.569312169,2834.0,3.0,0.0,1.0,0.0,1.0
1.0,0.0049594140000000005,51.0,0.0,0.235626027,14000.0,6.0,0.0,1.0,0.0,0.0
1.0,0.054863011,62.0,0.0,0.00939812,5000.0,3.0,0.0,0.0,0.0,0.0
1.0,0.190333675,38.0,0.0,0.230441295,8678.0,10.0,0.0,2.0,0.0,1.0
1.0,0.052147668,54.0,0.0,0.421115777,3333.0,6.0,0.0,1.0,0.0,1.0
1.0,0.330737242,51.0,0.0,0.521064302,6764.0,14.0,0.0,2.0,0.0,0.0
1.0,0.7667383879999999,38.0,2.0,0.17006802699999998,6467.0,6.0,0.0,0.0,0.0,3.0
1.0,1.03654485,28.0,1.0,1.022391044,2500.0,5.0,0.0,2.0,0.0,2.0
1.0,0.09792749,49.0,0.0,0.322875366,5800.0,11.0,0.0,1.0,0.0,2.0
1.0,0.0,29.0,0.0,0.31183510600000003,1503.0,4.0,0.0,0.0,0.0,0.0
1.0,0.544197426,33.0,0.0,0.19026991,3000.0,5.0,0.0,1.0,0.0,1.0
1.0,0.049781761,65.0,0.0,0.201308273,10853.0,8.0,0.0,2.0,0.0,0.0
1.0,0.0,23.0,0.0,0.0,821.0,2.0,0.0,0.0,0.0,0.0
1.0,0.048697425,56.0,0.0,0.14377474,13388.0,6.0,0.0,2.0,0.0,2.0
1.0,0.0,53.0,0.0,0.16563841199999998,7455.0,8.0,0.0,1.0,0.0,0.0
1.0,0.18883813,50.0,0.0,0.253730415,16083.0,11.0,0.0,2.0,0.0,2.0
1.0,0.27844983100000004,46.0,0.0,0.517319043,12875.0,14.0,0.0,3.0,0.0,3.0
1.0,0.764780115,37.0,0.0,0.640262193,9000.0,11.0,0.0,3.0,0.0,3.0
1.0,0.859775917,40.0,0.0,0.299381124,3877.0,8.0,0.0,0.0,0.0,1.0
1.0,0.139558071,52.0,0.0,0.145927036,2000.0,4.0,0.0,0.0,0.0,0.0
1.0,0.900041649,47.0,1.0,0.208908686,2244.0,3.0,0.0,0.0,0.0,3.0
1.0,0.00979231,82.0,0.0,0.004892576,4700.0,11.0,0.0,0.0,0.0,0.0
1.0,0.8821178820000001,55.0,1.0,0.7475401970000001,4166.0,14.0,0.0,2.0,0.0,0.0
1.0,0.677576546,70.0,2.0,0.960652591,2083.0,13.0,0.0,1.0,1.0,0.0
1.0,0.010666272,67.0,0.0,0.002923977,2735.0,2.0,0.0,0.0,0.0,0.0
1.0,0.9999999,52.0,0.0,0.037175883,3200.0,0.0,2.0,0.0,0.0,0.0
1.0,0.039786673,76.0,0.0,0.011729323,3324.0,6.0,0.0,0.0,0.0,1.0
1.0,0.6036458729999999,38.0,0.0,0.111088891,10000.0,6.0,0.0,0.0,0.0,0.0
1.0,0.0,53.0,0.0,0.417796478,12833.0,14.0,0.0,2.0,0.0,0.0
1.0,0.011847817,54.0,0.0,1.595638346,2200.0,16.0,0.0,3.0,0.0,3.0
1.0,0.481858415,51.0,0.0,0.2844808,4400.0,12.0,0.0,0.0,0.0,0.0
1.0,0.464535465,27.0,0.0,0.08810172599999999,1100.0,3.0,0.0,0.0,0.0,0.0
1.0,0.016319565,47.0,0.0,0.14039548,7079.0,8.0,0.0,1.0,0.0,3.0
1.0,0.390804598,71.0,0.0,0.090489381,1082.0,9.0,0.0,0.0,0.0,0.0
1.0,0.9500998,55.0,0.0,0.098971093,4081.0,2.0,3.0,0.0,0.0,0.0
1.0,0.8617763209999999,64.0,1.0,0.363068271,6400.0,10.0,0.0,1.0,0.0,1.0
1.0,0.189811658,49.0,0.0,0.384282874,11566.0,41.0,0.0,2.0,0.0,2.0
1.0,0.6453507510000001,42.0,0.0,1.057471264,10700.0,11.0,0.0,4.0,1.0,3.0
1.0,0.047124771,33.0,0.0,0.336547085,4459.0,8.0,0.0,1.0,0.0,0.0
1.0,0.022577276,48.0,0.0,0.297545702,9900.0,9.0,0.0,3.0,0.0,4.0
1.0,0.243103347,41.0,0.0,0.27391829,5800.0,3.0,0.0,1.0,0.0,0.0
1.0,0.020615231,44.0,0.0,0.28798560100000004,6666.0,4.0,0.0,1.0,0.0,0.0
1.0,0.038641274,56.0,0.0,0.504483656,3456.0,3.0,0.0,1.0,0.0,0.0
1.0,0.229074357,53.0,2.0,0.24835488100000006,12916.0,11.0,0.0,2.0,0.0,2.0
1.0,0.000962927,35.0,1.0,0.178748904,6841.0,4.0,0.0,1.0,0.0,0.0
1.0,0.029831619,63.0,0.0,0.51455918,7417.0,21.0,0.0,2.0,0.0,0.0
1.0,0.7104909709999999,52.0,2.0,0.114173228,6095.0,3.0,0.0,0.0,0.0,0.0
0.0,0.193486915,54.0,2.0,0.678680721,2940.0,10.0,0.0,2.0,0.0,0.0
1.0,0.758887305,34.0,3.0,0.238595176,8000.0,20.0,0.0,0.0,1.0,0.0
1.0,0.007856208,40.0,0.0,0.282926829,2254.0,9.0,0.0,0.0,0.0,1.0
1.0,0.9999999,50.0,0.0,0.0,4946.0,0.0,0.0,0.0,0.0,0.0
1.0,0.703286448,29.0,0.0,0.166228301,1900.0,2.0,0.0,0.0,0.0,2.0
1.0,0.280902543,55.0,0.0,0.345988775,9086.0,13.0,0.0,1.0,0.0,1.0
0.0,0.0,86.0,0.0,21.0,3333.0,4.0,0.0,0.0,0.0,0.0
1.0,0.04863747,51.0,0.0,0.005592841,9833.0,3.0,0.0,0.0,0.0,0.0
1.0,0.02695535,58.0,1.0,1002.0,0.0,8.0,0.0,3.0,0.0,0.0
1.0,0.049656806,66.0,0.0,0.199759417,13300.0,19.0,0.0,2.0,0.0,1.0
1.0,0.04656995,33.0,0.0,0.35362237,7080.0,8.0,0.0,1.0,0.0,1.0
1.0,0.095732008,67.0,0.0,0.928267933,4000.0,10.0,0.0,2.0,0.0,0.0
1.0,0.0,61.0,0.0,0.459247,4833.0,10.0,0.0,1.0,0.0,0.0
1.0,0.002722371,57.0,0.0,0.426766226,3481.0,11.0,0.0,1.0,0.0,2.0
1.0,0.022450844,60.0,0.0,0.192626527,4583.0,11.0,0.0,1.0,0.0,0.0
1.0,0.048104714000000014,49.0,0.0,0.324319177,5250.0,7.0,0.0,2.0,0.0,0.0
1.0,0.59346703,41.0,2.0,1.458819715,3083.0,7.0,0.0,3.0,0.0,2.0
1.0,0.109371236,50.0,0.0,0.493028165,18000.0,25.0,0.0,3.0,0.0,3.0
1.0,0.467413286,63.0,2.0,0.119958988,8777.0,10.0,0.0,0.0,0.0,0.0
1.0,0.052063196,41.0,0.0,0.16191904,2000.0,4.0,0.0,0.0,0.0,0.0
1.0,0.697520538,42.0,0.0,0.266228921,6700.0,11.0,0.0,1.0,0.0,0.0
1.0,0.132031269,60.0,0.0,0.251257485,4174.0,13.0,0.0,1.0,0.0,0.0
1.0,0.175569768,74.0,0.0,0.420584969,2700.0,7.0,0.0,1.0,0.0,0.0
1.0,0.055131837,70.0,0.0,0.361475228,4500.0,8.0,0.0,1.0,0.0,0.0
1.0,0.9999999,23.0,0.0,0.146810146,1300.0,2.0,0.0,0.0,0.0,1.0
1.0,0.0,47.0,0.0,0.355233853,8979.0,15.0,0.0,2.0,0.0,0.0
1.0,0.000166657,78.0,0.0,0.0,1000.0,1.0,0.0,0.0,0.0,0.0
1.0,0.5570207220000001,28.0,1.0,0.316044595,2062.0,7.0,0.0,0.0,0.0,1.0
1.0,0.0013725220000000002,62.0,0.0,0.5533928810000001,7500.0,10.0,0.0,1.0,0.0,0.0
0.0,0.0,37.0,1.0,5.8403193610000015,500.0,6.0,0.0,1.0,0.0,3.0
1.0,0.138067355,50.0,0.0,0.18479364,11823.0,14.0,0.0,0.0,0.0,0.0
1.0,0.33053786,43.0,0.0,0.181385281,2309.0,6.0,0.0,0.0,0.0,0.0
1.0,0.481351155,53.0,0.0,0.670746423,5800.0,25.0,0.0,4.0,0.0,1.0
1.0,0.002957608,75.0,0.0,0.411035586,2500.0,6.0,0.0,1.0,0.0,0.0
1.0,0.082929255,57.0,0.0,0.224118392,15000.0,13.0,0.0,2.0,0.0,2.0
1.0,0.507577226,54.0,0.0,0.16713881,6000.0,7.0,0.0,0.0,0.0,1.0
1.0,0.691542289,48.0,1.0,0.042901291,5500.0,3.0,0.0,0.0,0.0,1.0
1.0,0.9999999,78.0,0.0,916.0,0.0,1.0,0.0,1.0,0.0,0.0
1.0,0.8707501670000001,54.0,1.0,0.792848335,2432.0,12.0,0.0,2.0,1.0,1.0
1.0,0.27114577100000004,30.0,0.0,0.173592493,2983.0,3.0,0.0,0.0,0.0,0.0
1.0,0.29928345300000003,44.0,0.0,0.237351655,1600.0,7.0,0.0,0.0,0.0,0.0
1.0,0.5014628179999999,35.0,0.0,0.3697721370000001,3466.0,10.0,0.0,0.0,0.0,0.0
1.0,0.9999999,45.0,0.0,0.214445605,6700.0,2.0,0.0,0.0,0.0,0.0
1.0,0.9999999,38.0,0.0,0.101149808,6000.0,3.0,0.0,0.0,0.0,2.0
1.0,0.727609407,35.0,0.0,0.136203246,4250.0,6.0,0.0,0.0,0.0,0.0
